ID_FASHI,RA_FASHI,DEC_FASHI,cz_FASHI,AGCNr_ALFALFA,RA_ALFALFA,DEC_ALFALFA,cz_ALFALFA
,deg,deg,km/s,,deg,deg,km/s
20230013594,162.753,36.195,7131.45,5951,162.766,36.179,7109
20230013570,213.934,36.177,7408.96,245480,213.943,36.172,7427
20230013560,8.515,36.171,4809.24,104543,8.502,36.165,4809
20230013506,167.184,36.169,8246.72,216420,167.186,36.170,8177
20230058952,41.349,36.163,14472.05,124857,41.349,36.163,14466
20230054697,45.278,36.162,8158.04,132238,45.288,36.162,8207
20230052360,210.480,36.162,5123.18,245319,210.491,36.171,5141
20230013536,36.907,36.157,10740.81,1919,36.904,36.156,10755
20230013521,146.329,36.151,6555.41,190478,146.345,36.157,6537
20230013518,214.888,36.149,7419.97,9173,214.900,36.151,7426
20230054801,148.779,36.147,8323.67,195847,148.785,36.143,8318
20230013515,37.974,36.147,8917.29,124825,37.954,36.142,8907
20230013514,186.387,36.147,10153.45,224139,186.399,36.156,10138
20230013510,170.927,36.146,7545.45,216768,170.942,36.167,7593
20230058949,173.190,36.142,7578.52,216923,173.190,36.142,7525
20230013507,164.161,36.142,569.01,205685,164.174,36.143,567
20230013496,207.026,36.135,2252.98,8731,207.035,36.130,2248
20230058946,167.061,36.130,8349.62,216399,167.055,36.125,8359
20230013492,213.779,36.125,8259.74,245468,213.780,36.128,8325
20230013494,33.849,36.123,6227.95,124795,33.851,36.119,6238
20230013465,230.749,36.118,7025.90,254496,230.760,36.125,7052
20230013443,45.725,36.117,7598.51,132240,45.731,36.111,7596
20230013459,39.210,36.116,5123.96,2094,39.208,36.110,5136
20230013481,175.853,36.115,6361.82,210650,175.864,36.122,6360
20230013393,169.998,36.100,7526.44,6338,170.003,36.103,7552
20230013392,337.580,36.093,6353.10,322694,337.589,36.105,6361
20230054719,45.508,36.089,7903.81,2494,45.523,36.097,7892
20230013412,141.630,36.088,9290.69,194946,141.645,36.109,9288
20230013383,166.088,36.085,772.50,219661,166.098,36.098,766
20230013382,193.465,36.085,4371.06,8023,193.475,36.091,4354
20230013372,44.692,36.083,8146.84,120760,44.693,36.094,8148
20230053997,175.543,36.083,11576.18,747793,175.555,36.103,11595
20230013363,26.875,36.081,4743.90,110839,26.878,36.070,4733
20230052222,39.901,36.080,2756.55,2143,39.896,36.080,2771
20230013403,148.323,36.080,5417.49,191376,148.330,36.083,5417
20230013361,39.043,36.080,11352.30,124837,39.047,36.087,11358
20230013357,21.097,36.078,7067.61,115614,21.095,36.077,7062
20230013320,149.343,36.077,12674.40,198504,149.343,36.083,12687
20230013356,334.888,36.077,5700.62,322674,334.896,36.069,5719
20230013348,199.049,36.074,6832.63,8341,199.060,36.081,6822
20230013340,227.867,36.071,12506.87,254383,227.880,36.047,12505
20230054467,10.224,36.070,11405.95,104549,10.229,36.072,11387
20230013345,147.582,36.070,6533.27,195697,147.592,36.091,6554
20230013336,344.128,36.069,5691.91,322755,344.135,36.070,5703
20230013335,33.030,36.069,10928.15,124792,33.033,36.078,10934
20230013332,40.502,36.068,9184.91,124849,40.501,36.067,9194
20230013330,196.387,36.068,10928.47,728610,196.407,36.068,10909
20230013325,149.391,36.065,5717.38,190717,149.399,36.069,5719
20230013308,188.743,36.061,9942.12,222678,188.751,36.056,9958
20230054786,149.425,36.061,8053.50,190716,149.433,36.063,8016
20230013302,27.867,36.057,5232.32,1319,27.867,36.061,5319
20230013301,227.665,36.055,12327.81,258709,227.669,36.066,12321
20230013299,343.052,36.054,8476.29,322744,343.053,36.048,8475
20230013293,28.221,36.051,6092.77,1349,28.221,36.054,6104
