ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,Name_SGA,RA_SGA,DEC_SGA,z_SGA
,deg,deg,,,deg,deg,
20230000823,166.736,-6.193,0.02269,PGC1035830,166.738,-6.183,0.02290
20230042079,165.515,-6.178,0.03145,PGC1035861,165.504,-6.180,0.03160
20230060002,356.034,-6.162,0.00704,PGC072252,356.044,-6.170,0.00704
20230000831,58.707,-6.171,0.03664,PGC1036048,58.703,-6.163,0.03644
20230000832,169.267,-6.141,0.04476,PGC1036233,169.281,-6.148,0.04532
20230000833,171.782,-6.140,0.02999,PGC035230,171.789,-6.139,0.02995
20230000834,168.912,-6.137,0.01945,PGC1036364,168.917,-6.137,0.02020
20230000840,51.378,-6.135,0.03468,PGC012803,51.381,-6.129,0.03481
20230060003,176.741,-6.121,0.02710,PGC1036446,176.750,-6.128,0.02681
20230000842,49.858,-6.114,0.00752,PGC012394,49.859,-6.121,0.00757
20230000850,50.134,-6.114,0.00783,PGC1036541,50.137,-6.119,0.00780
20230000843,49.756,-6.108,0.00734,SDSSJ031903.37-060653.9,49.764,-6.115,0.00733
20230057494,40.122,-6.099,0.00442,PGC010128,40.126,-6.106,0.00442
20230000848,154.331,-6.102,0.04587,PGC1036752,154.347,-6.100,0.04587
20230000853,138.542,-6.091,0.04218,PGC1036760,138.545,-6.100,0.04229
20230042085,53.880,-6.091,0.04315,PGC1036804,53.880,-6.096,0.04333
20230000854,46.806,-6.090,0.00546,PGC011692,46.809,-6.093,0.00558
20230060008,212.035,-6.088,0.00886,NGC5476,212.035,-6.092,0.00880
20230060010,30.058,-6.084,0.01808,PGC007585,30.065,-6.092,0.01809
20230060011,175.289,-6.082,0.03204,PGC104237,175.291,-6.088,0.03211
20230053279,48.558,-6.086,0.02972,PGC012049,48.562,-6.086,0.02966
20230053419,167.002,-6.078,0.03520,PGC114490,167.009,-6.085,0.03496
20230053212,150.435,-6.086,0.03663,PGC182069,150.437,-6.084,0.03680
20230053219,150.176,-6.077,0.03488,PGC1036971,150.179,-6.082,0.03489
20230060015,30.550,-6.075,0.01641,PGC007743,30.555,-6.079,0.01642
20230000863,129.146,-6.077,0.03829,PGC1037023,129.145,-6.078,0.03823
20230060022,34.311,-6.060,0.04144,PGC008724,34.315,-6.070,0.04175
20230060020,207.847,-6.066,0.01010,PGC1037109,207.849,-6.070,0.01010
20230060018,191.414,-6.068,0.00493,PGC043020,191.422,-6.069,0.00492
20230053455,129.398,-6.061,0.04052,PGC1037126,129.400,-6.069,0.04093
20230060025,72.781,-6.048,0.01545,PGC1037301,72.785,-6.056,0.01515
20230000880,164.295,-6.031,0.04516,PGC1037371,164.291,-6.049,0.04537
20230000878,164.294,-6.030,0.04516,PGC1037371,164.291,-6.049,0.04537
20230051919,162.540,-6.035,0.02161,PGC2816724,162.539,-6.043,0.02172
20230060027,223.826,-6.038,0.02575,PGC053345,223.824,-6.040,0.02577
20230053211,156.078,-6.024,0.03735,IC0608,156.088,-6.039,0.03735
20230051840,54.893,-6.034,0.02212,PGC1037482,54.895,-6.039,0.02211
20230060030,193.667,-6.033,0.01585,PGC1037483,193.668,-6.039,0.01571
20230060024,210.851,-6.050,0.00882,NGC5427,210.859,-6.031,0.00897
20230060028,176.922,-6.036,0.02723,PGC104360,176.931,-6.029,0.02728
20230000890,150.648,-6.011,0.00220,PGC029086,150.650,-6.014,0.00221
20230060036,177.796,-6.003,0.01659,PGC2816785,177.806,-6.007,0.01673
20230000891,130.079,-6.006,0.03225,PGC153051,130.087,-6.007,0.03227
20230042092,62.288,-5.994,0.03773,PGC1037976,62.294,-5.996,0.03816
20230060035,212.654,-6.009,0.04539,PGC1038076,212.686,-5.988,0.04551
20230060039,206.410,-5.982,0.00485,PGC048786,206.409,-5.985,0.00485
20230060040,215.900,-5.981,0.00909,IC4407,215.903,-5.982,0.00907
20230060041,187.496,-5.978,0.02456,PGC041254,187.504,-5.982,0.02451
20230000900,170.110,-5.960,0.04527,PGC1038266,170.119,-5.973,0.04504
20230000896,168.105,-5.971,0.04263,PGC139547,168.118,-5.970,0.04300
20230000897,51.402,-5.971,0.03487,PGC3105149,51.404,-5.969,0.03459
20230060046,347.015,-5.960,0.02081,NGC7491,347.025,-5.967,0.02076
20230060045,33.439,-5.965,0.05362,PGC174917,33.459,-5.965,0.05379
20230060047,29.923,-5.960,0.00464,NGC0779,29.928,-5.964,0.00463
20230060043,187.590,-5.970,0.02566,PGC041303,187.576,-5.962,0.02585
20230000903,51.772,-5.951,0.03414,PGC1038487,51.772,-5.955,0.03413
20230000907,170.314,-5.940,0.02821,PGC125748,170.316,-5.952,0.02825
20230000910,169.967,-5.930,0.02794,PGC1038718,169.970,-5.935,0.02801
20230000905,51.015,-5.942,0.03711,PGC012720,51.010,-5.934,0.03705
20230060054,193.377,-5.930,0.00356,PGC1038789,193.382,-5.928,0.00359
20230000912,54.374,-5.926,0.02217,PGC1038813,54.380,-5.926,0.02219
20230000913,165.064,-5.920,0.03092,PGC1038828,165.066,-5.925,0.03122
20230053450,129.255,-5.940,0.04015,PGC1038908,129.222,-5.918,0.03923
20230000914,62.928,-5.916,0.03227,PGC3105193,62.932,-5.916,0.03224
20230060056,32.942,-5.924,0.04308,PGC008405,32.945,-5.915,0.04328
20230000915,145.895,-5.913,0.00675,PGC027833,145.901,-5.912,0.00676
20230060061,193.127,-5.902,0.01273,PGC183381,193.132,-5.900,0.01240
20230042095,154.593,-5.918,0.05490,PGC082685,154.604,-5.897,0.05498
20230000917,129.372,-5.899,0.04105,PGC1039227,129.371,-5.890,0.04123
20230000921,58.968,-5.888,0.03708,PGC1039296,58.973,-5.884,0.03708
20230000927,151.773,-5.871,0.01698,PGC029405,151.772,-5.883,0.01708
20230000926,53.940,-5.875,0.03750,PGC1039350,53.943,-5.880,0.03758
20230000923,52.724,-5.879,0.03859,PGC1039364,52.734,-5.878,0.03863
20230060075,179.287,-5.830,0.06876,PGC125833,179.280,-5.863,0.06675
20230000932,50.957,-5.859,0.03713,SDSSJ032349.47-055134.5,50.956,-5.860,0.03708
20230060065,175.322,-5.862,0.00671,PGC1039585,175.327,-5.857,0.00609
20230000935,166.569,-5.856,0.02529,PGC1039584,166.575,-5.857,0.02550
20230000934,46.832,-5.856,0.03072,PGC011694,46.833,-5.850,0.03177
20230000933,169.972,-5.857,0.02957,PGC034676,169.981,-5.850,0.02961
20230000938,165.309,-5.855,0.02343,PGC3081803,165.302,-5.846,0.02352
20230000944,58.078,-5.843,0.03338,PGC1039727,58.083,-5.846,0.03330
20230060074,192.700,-5.839,0.02263,PGC1039758,192.700,-5.844,0.02180
20230060073,37.045,-5.840,0.02035,PGC009390,37.047,-5.839,0.02037
20230000959,141.952,-5.803,0.02132,PGC026861,141.989,-5.834,0.02347
20230057492,210.375,-5.836,0.00522,PGC1039933,210.383,-5.826,0.00521
20230000946,151.715,-5.834,0.03653,PGC029391,151.718,-5.825,0.03670
20230000976,53.717,-5.778,0.01828,PGC1040077,53.742,-5.815,0.01829
20230053425,170.241,-5.815,0.02361,PGC1040094,170.249,-5.813,0.02344
20230060079,170.245,-5.809,0.02361,PGC1040094,170.249,-5.813,0.02344
20230000953,129.236,-5.810,0.04191,PGC152901,129.237,-5.811,0.04211
20230060081,72.961,-5.802,0.00913,NGC1681,72.959,-5.803,0.00917
20230042105,145.282,-5.786,0.05185,PGC1040257,145.292,-5.799,0.05176
20230000960,130.740,-5.801,0.03117,PGC1040294,130.737,-5.796,0.03147
20230060080,154.673,-5.806,0.05488,PGC1040300,154.680,-5.795,0.05508
20230051806,199.718,-5.789,0.01901,PGC046396,199.726,-5.791,0.01898
20230060086,153.060,-5.779,0.04777,PGC1040440,153.061,-5.785,0.04830
20230000963,59.160,-5.796,0.03663,PGC1040464,59.172,-5.784,0.03666
20230000971,165.922,-5.779,0.02577,PGC1040486,165.928,-5.782,0.02600
20230000962,135.915,-5.789,0.01595,PGC1040507,135.918,-5.780,0.01593
20230051810,192.054,-5.766,0.02222,PGC170203,192.052,-5.779,0.02220
20230000974,168.590,-5.764,0.01951,PGC1040582,168.599,-5.772,0.01940
20230000975,50.559,-5.769,0.03545,PGC1040587,50.574,-5.772,0.03543
