ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,z_SDSS
,deg,deg,,,deg,deg,
20230053284,48.425,-6.073,0.03144,1237649964065161287,48.429,-6.084,0.03125
20230060070,37.368,-5.847,0.04766,1237679439889301650,37.364,-5.848,0.04810
20230060087,36.523,-5.777,0.03241,1237679439888908518,36.530,-5.781,0.03209
20230060106,35.641,-5.708,0.03285,1237679341105971489,35.638,-5.713,0.03276
20230001011,54.560,-5.652,0.02203,1237652901845598378,54.566,-5.659,0.02183
20230001046,54.542,-5.535,0.02211,1237652901845598221,54.554,-5.540,0.02215
20230060210,58.242,-5.077,0.01724,1237652901847171254,58.241,-5.080,0.01735
20230053259,35.945,-4.857,0.04396,1237679253598372170,35.959,-4.843,0.04378
20230053265,36.191,-4.785,0.03263,1237679253598503407,36.203,-4.783,0.03292
20230001467,31.331,-4.642,0.01667,1237679254133211366,31.335,-4.663,0.01679
20230001798,34.558,-4.261,0.04219,1237679323398013119,34.561,-4.266,0.04241
20230002233,195.487,-3.691,0.01712,1237650760249835559,195.494,-3.680,0.01707
20230042127,187.854,-3.660,0.01997,1237650760246493259,187.853,-3.669,0.02429
20230051815,190.490,-3.660,0.00931,1237671267105702021,190.497,-3.667,0.00924
20230002413,185.162,-3.527,0.01096,1237650369410433125,185.169,-3.533,0.01097
20230002428,198.463,-3.511,0.02716,1237655493293047918,198.461,-3.523,0.02709
20230002426,200.240,-3.512,0.01879,1237655493293834393,200.277,-3.506,0.02286
20230002432,200.308,-3.501,0.01874,1237655493293834393,200.277,-3.506,0.02286
20230002521,179.718,-3.399,0.06960,1237650369408073872,179.707,-3.416,0.06943
20230002516,195.044,-3.406,0.03421,1237650369414758663,195.051,-3.408,0.03420
20230002553,187.188,-3.368,0.03247,1237650369411350741,187.192,-3.369,0.03246
20230003007,208.633,-2.848,0.03718,1237655498129735833,208.634,-2.850,0.03710
20230003021,186.392,-2.830,0.06730,1237650761319579713,186.393,-2.841,0.06728
20230003066,224.086,-2.750,0.00653,1237655691404181935,224.085,-2.762,0.00630
20230003146,197.267,-2.632,0.01304,1237650370489483403,197.276,-2.643,0.01301
20230003170,175.572,-2.589,0.04314,1237671140406132881,175.601,-2.569,0.04341
20230003302,219.834,-2.449,0.02380,1237655691939217867,219.834,-2.447,0.02376
20230003315,202.806,-2.432,0.01052,1237655498664050807,202.810,-2.435,0.01052
20230003336,234.617,-2.394,0.01150,1237655691408835160,234.623,-2.396,0.01146
20230003422,233.903,-2.282,0.03281,1237655691408507240,233.915,-2.279,0.02828
