ID_FASHI,RA_FASHI,DEC_FASHI,z_FASHI,OBJID_SDSS,RA_SDSS,DEC_SDSS,Probability_SDSS
,deg,deg,,,deg,deg,
20230042080,125.705,-6.169,0.04885,1237674460407923463,125.731,-6.163,0.848
20230042081,126.961,-6.160,0.02162,1237673708252234978,126.971,-6.155,0.936
20230000830,172.136,-6.156,0.01670,1237671142014648688,172.146,-6.146,0.994
20230000845,44.275,-6.107,0.03168,1237679438818574478,44.286,-6.143,0.969
20230000841,122.921,-6.115,0.03842,1237673710935081236,122.928,-6.125,0.996
20230060006,191.710,-6.096,0.01264,1237671763173310839,191.721,-6.116,0.860
20230042084,46.376,-6.103,0.02957,1237679339500011708,46.377,-6.101,0.999
20230060012,207.360,-6.081,0.00506,1237671955911802962,207.364,-6.088,0.984
20230060014,81.558,-6.075,0.04238,1237653745781178628,81.541,-6.084,0.994
20230051794,125.626,-6.070,0.01741,1237673709325516907,125.630,-6.077,0.994
20230000859,51.429,-6.079,0.00888,1237652901844222028,51.431,-6.075,0.992
20230042086,63.642,-6.066,0.03918,1237649927562068203,63.644,-6.068,0.986
20230060019,84.153,-6.066,0.02327,1237667726977335381,84.142,-6.046,0.937
20230000885,122.714,-6.023,0.03854,1237674462554358294,122.728,-6.044,0.983
20230051790,123.751,-6.073,0.02184,1237674462017815006,123.718,-6.040,0.894
20230060031,222.922,-6.032,0.01591,1237674655830114320,222.913,-6.033,0.998
20230060032,82.550,-6.025,0.02335,1237653750612557989,82.550,-6.030,0.900
20230053276,45.635,-6.025,0.04138,1237679438819164199,45.641,-6.023,1.000
20230060034,346.657,-6.020,0.02035,1237680265068216584,346.657,-6.020,1.000
20230000886,51.575,-6.019,0.03460,1237652901844287691,51.577,-6.020,0.999
20230000894,45.522,-5.995,0.02400,1237679438819098744,45.527,-6.003,0.994
20230042093,43.305,-5.986,0.03091,1237679340035571800,43.313,-5.987,0.999
20230060044,34.541,-5.966,0.04215,1237679439888056495,34.546,-5.971,0.998
20230000902,123.723,-5.953,0.02169,1237674462017880638,123.727,-5.963,0.998
20230060048,72.824,-5.960,0.01395,1237676302410711374,72.826,-5.961,1.000
20230060050,72.967,-5.948,0.01388,1237676302410776644,72.974,-5.948,0.978
20230000899,45.477,-5.953,0.02786,1237679438819098709,45.486,-5.936,0.992
20230060057,70.224,-5.917,0.01583,1237676304020340860,70.225,-5.917,0.999
20230042097,124.662,-5.913,0.07105,1237674461481337622,124.667,-5.912,0.998
20230060060,79.931,-5.907,0.03348,1237653750611443927,79.934,-5.904,1.000
20230060062,191.400,-5.899,0.01258,1237671763710247077,191.405,-5.897,0.994
